No.,Title,Author(s),Language,Game type,Duration,Min. number of players,Max. number of players,Entry threshold,Prerequisites,Link,Hashtags
221,A Quiet Place in Hell,Evan Torner,EN,nano-larp,<2h,3,9,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#comedy
222,RESTART,Steve Segedy,EN,nano-larp,<2h,3,9,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#SF
#survival"
223,RPCV,Jason Morningstar,EN,nano-larp,<2h,3,6,2,2,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#relationship
#horror"
224,Still Life,"W.Gorman
D. Hertz
H. Silsbee",EN,nano-larp,<2h,4,10,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#relationship
225,Top Secret Admirer,"D. Eison, S. Zeitlin",EN,freeform,<2h,3,8,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#relationship
226,Trapped!/¡Atrapados!,Juan Manuel Avila,EN,other,<2h,99,99,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#comedy
#relationship"
227,Troupe,Jason Cox,EN,other,<2h,3,8,2,2,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#relationship
228,Unheroes,Joanna Piancastelli,EN,chamber larp,<2h,5,9,2,2,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#superheroes
#relationship"
229,(Your Game Here) By (Your Name Here),Mike Young,EN,experimental larp,<2h,99,99,3,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#comedy
230,Fan Fic,Kat Jones,EN,freeform,<2h,3,5,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,
231,"Sallah, najlepszy kopacz Kairu",Andrzej Pierzchała ,PL,nano-larp,<2h,2,99,2,1,http://larpbase.pl/portfolio/larp-sallah-najlepszy-kopacz-kairu/,#indianajones
232,All a facade,Simon Larsson,EN,chamber larp,2-4h,6,8,2,1,https://stockholmscenariofestival.files.wordpress.com/2013/08/all-a-facade-simon-larsson-eng.pdf,
233,Changing friends,Patrik Bálint,SV,chamber larp,2-4h,4,6,2,1,https://stockholmscenariofestival.files.wordpress.com/2013/08/changing-friends-layout.pdf,
234,End of The World,Nina Runa Essendrop,EN,chamber larp,4-6h,3,3,2,1,https://www.dropbox.com/s/mv3mn4kq4u9ezk7/End%20of%20the%20world.zip?dl=0,#endoftheworld
235,Exile,Asbjørn Olsen,EN,nano-larp,<2h,3,3,2,1,https://stockholmscenariofestival.files.wordpress.com/2013/08/exile.pdf,"#loneliness
#melancholy"
236,All a facade,Simon Larsson,SV,chamber larp,2-4h,6,8,2,1,https://stockholmscenariofestival.files.wordpress.com/2013/08/all-a-facade-simon-larsson-v2.pdf,
237,In your hands,Karin Ryding,EN,nano-larp,<2h,4,4,2,1,https://stockholmscenariofestival.files.wordpress.com/2013/08/in-your-hands.pdf,
238,Joakim,Anna-Karin Linder,EN,chamber larp,4-6h,8,13,2,2,https://stockholmscenariofestival.files.wordpress.com/2013/08/joakim-eng.pdf,"#10plus
#bullying"
239,Mulholland Larp,Joel Östlund,SV,chamber larp,2-4h,9,30,2,2,https://stockholmscenariofestival.files.wordpress.com/2013/08/mulholland-lajv-hela.pdf,"#10plus
#lynch"
240,Play the cards,"Tyra Grasmo
Katrin Førde
Trine Lise Lindahl
Frida Sofie Jansen",EN,chamber larp,2-4h,30,30,2,2,https://www.dropbox.com/s/4tuhic71259z30h/Play%20the%20cards.zip?dl=0&file_subpath=%2FPlay+the+cards,"#10plus
#highschool
#cards"
241,Point of no return,Elin Gissén,SV,---,<2h,2,2,2,2,https://stockholmscenariofestival.files.wordpress.com/2013/08/point-of-no-return-elin.pdf,
242,Relapse,Max Møller,DA,chamber larp,2-4h,4,4,2,2,https://www.dropbox.com/s/4tzt5h2ai8duk1u/Relapse.zip?dl=0,"#family
#alcoholism"
243,Sarabande,"Jeppe Bergmann Hamming
Maria Bergmann Hamming",EN,chamber larp,4-6h,12,12,2,2,https://stockholmscenariofestival.files.wordpress.com/2013/08/sarabande_english_revised.pdf,"#10plus
#music
#19century"
244,"Sex, Drugs & Rock ‘n’ Roll",Morten Jaeger,EN,chamber larp,2-4h,5,5,2,2,https://www.dropbox.com/s/1kvs6dm80r9bpyv/Sex%20drugs%20and%20rock%27n%27roll.zip?dl=0,#music
245,Shards,"Gustav Nilsson
Staffan Fladvad",EN,chamber larp,4-6h,8,8,2,2,https://www.dropbox.com/s/sd956o7011x5mz4/Shards.zip?dl=0,#mentalillness
246,Stereo hearts,"Maria Ljung
Helene Willer Piironen",EN,chamber larp,2-4h,5,5,2,2,https://stockholmscenariofestival.files.wordpress.com/2013/08/stereoheartsfuckyeah.pdf,#music
247,The One that Got Away,Johanna MacDonald,EN,nano-larp,<2h,2,2,2,2,https://stockholmscenariofestival.files.wordpress.com/2013/08/the-one-that-got-away.pdf,#family
